sentence,drug,drug_start,drug_end,effect,effect_start,effect_end
"Thirty-six patients with AL received, in a three-month period, 51 cycles of combined chemotherapy which included, in all of them, cytosine arabinoside (ARA-C); among them, along with myelosuppression, five experienced fever, infectious complications, gastrointestinal tract symptoms and severe myalgias.",ARA-C,152,157,fever,218,223
"Thirty-six patients with AL received, in a three-month period, 51 cycles of combined chemotherapy which included, in all of them, cytosine arabinoside (ARA-C); among them, along with myelosuppression, five experienced fever, infectious complications, gastrointestinal tract symptoms and severe myalgias.",cytosine arabinoside,130,150,fever,218,223
"Thirty-six patients with AL received, in a three-month period, 51 cycles of combined chemotherapy which included, in all of them, cytosine arabinoside (ARA-C); among them, along with myelosuppression, five experienced fever, infectious complications, gastrointestinal tract symptoms and severe myalgias.",ARA-C,152,157,gastrointestinal tract symptoms,251,282
"Thirty-six patients with AL received, in a three-month period, 51 cycles of combined chemotherapy which included, in all of them, cytosine arabinoside (ARA-C); among them, along with myelosuppression, five experienced fever, infectious complications, gastrointestinal tract symptoms and severe myalgias.",cytosine arabinoside,130,150,gastrointestinal tract symptoms,251,282
"Thirty-six patients with AL received, in a three-month period, 51 cycles of combined chemotherapy which included, in all of them, cytosine arabinoside (ARA-C); among them, along with myelosuppression, five experienced fever, infectious complications, gastrointestinal tract symptoms and severe myalgias.",ARA-C,152,157,infectious complications,225,249
"Thirty-six patients with AL received, in a three-month period, 51 cycles of combined chemotherapy which included, in all of them, cytosine arabinoside (ARA-C); among them, along with myelosuppression, five experienced fever, infectious complications, gastrointestinal tract symptoms and severe myalgias.",cytosine arabinoside,130,150,infectious complications,225,249
"Thirty-six patients with AL received, in a three-month period, 51 cycles of combined chemotherapy which included, in all of them, cytosine arabinoside (ARA-C); among them, along with myelosuppression, five experienced fever, infectious complications, gastrointestinal tract symptoms and severe myalgias.",ARA-C,152,157,severe myalgias,287,302
"Thirty-six patients with AL received, in a three-month period, 51 cycles of combined chemotherapy which included, in all of them, cytosine arabinoside (ARA-C); among them, along with myelosuppression, five experienced fever, infectious complications, gastrointestinal tract symptoms and severe myalgias.",cytosine arabinoside,130,150,severe myalgias,287,302
CONCLUSION: We believe this to be the first reported case of rhGH-induced hypercalcemia in an HIV-infected patient.,rhGH,61,65,hypercalcemia,74,87
Hypercalcemia in an AIDS patient treated with growth hormone.,growth hormone,46,60,Hypercalcemia,0,13
The hypercalcemia responded to discontinuation of rhGH and a single dose of intravenous pamidronate disodium and has not recurred in 8 months of follow-up.,rhGH,50,54,hypercalcemia,4,17
We report a male patient with advanced AIDS who developed hypercalcemia 2 weeks after institution of rhGH therapy.,rhGH,101,105,hypercalcemia,58,71
Hypersensitivity reactions to cisplatin following multiple uncomplicated courses: a report on two cases.,cisplatin,30,39,Hypersensitivity reactions,0,26
"Two patients with ovarian cancer who had received multiple courses of cisplatin without complications experienced hypersensitivity reactions to cisplatin: one, involving intrahepatic artery infusion, manifested general erythema, dyspnea, and hypotension; the other, involving intravenous infusion, manifested abdominal pain, general erythema, and fever.",cisplatin,70,79,abdominal pain,309,323
"Two patients with ovarian cancer who had received multiple courses of cisplatin without complications experienced hypersensitivity reactions to cisplatin: one, involving intrahepatic artery infusion, manifested general erythema, dyspnea, and hypotension; the other, involving intravenous infusion, manifested abdominal pain, general erythema, and fever.",cisplatin,70,79,abdominal pain,309,323
"Two patients with ovarian cancer who had received multiple courses of cisplatin without complications experienced hypersensitivity reactions to cisplatin: one, involving intrahepatic artery infusion, manifested general erythema, dyspnea, and hypotension; the other, involving intravenous infusion, manifested abdominal pain, general erythema, and fever.",cisplatin,70,79,dyspnea,229,236
"Two patients with ovarian cancer who had received multiple courses of cisplatin without complications experienced hypersensitivity reactions to cisplatin: one, involving intrahepatic artery infusion, manifested general erythema, dyspnea, and hypotension; the other, involving intravenous infusion, manifested abdominal pain, general erythema, and fever.",cisplatin,70,79,dyspnea,229,236
"Two patients with ovarian cancer who had received multiple courses of cisplatin without complications experienced hypersensitivity reactions to cisplatin: one, involving intrahepatic artery infusion, manifested general erythema, dyspnea, and hypotension; the other, involving intravenous infusion, manifested abdominal pain, general erythema, and fever.",cisplatin,70,79,fever,347,352
"Two patients with ovarian cancer who had received multiple courses of cisplatin without complications experienced hypersensitivity reactions to cisplatin: one, involving intrahepatic artery infusion, manifested general erythema, dyspnea, and hypotension; the other, involving intravenous infusion, manifested abdominal pain, general erythema, and fever.",cisplatin,70,79,fever,347,352
"Two patients with ovarian cancer who had received multiple courses of cisplatin without complications experienced hypersensitivity reactions to cisplatin: one, involving intrahepatic artery infusion, manifested general erythema, dyspnea, and hypotension; the other, involving intravenous infusion, manifested abdominal pain, general erythema, and fever.",cisplatin,70,79,general erythema,211,227
"Two patients with ovarian cancer who had received multiple courses of cisplatin without complications experienced hypersensitivity reactions to cisplatin: one, involving intrahepatic artery infusion, manifested general erythema, dyspnea, and hypotension; the other, involving intravenous infusion, manifested abdominal pain, general erythema, and fever.",cisplatin,70,79,general erythema,211,227
"Two patients with ovarian cancer who had received multiple courses of cisplatin without complications experienced hypersensitivity reactions to cisplatin: one, involving intrahepatic artery infusion, manifested general erythema, dyspnea, and hypotension; the other, involving intravenous infusion, manifested abdominal pain, general erythema, and fever.",cisplatin,70,79,general erythema,211,227
"Two patients with ovarian cancer who had received multiple courses of cisplatin without complications experienced hypersensitivity reactions to cisplatin: one, involving intrahepatic artery infusion, manifested general erythema, dyspnea, and hypotension; the other, involving intravenous infusion, manifested abdominal pain, general erythema, and fever.",cisplatin,70,79,general erythema,211,227
"Two patients with ovarian cancer who had received multiple courses of cisplatin without complications experienced hypersensitivity reactions to cisplatin: one, involving intrahepatic artery infusion, manifested general erythema, dyspnea, and hypotension; the other, involving intravenous infusion, manifested abdominal pain, general erythema, and fever.",cisplatin,70,79,hypersensitivity reactions,114,140
"Two patients with ovarian cancer who had received multiple courses of cisplatin without complications experienced hypersensitivity reactions to cisplatin: one, involving intrahepatic artery infusion, manifested general erythema, dyspnea, and hypotension; the other, involving intravenous infusion, manifested abdominal pain, general erythema, and fever.",cisplatin,70,79,hypersensitivity reactions,114,140
"Two patients with ovarian cancer who had received multiple courses of cisplatin without complications experienced hypersensitivity reactions to cisplatin: one, involving intrahepatic artery infusion, manifested general erythema, dyspnea, and hypotension; the other, involving intravenous infusion, manifested abdominal pain, general erythema, and fever.",cisplatin,70,79,hypotension,242,253
"Two patients with ovarian cancer who had received multiple courses of cisplatin without complications experienced hypersensitivity reactions to cisplatin: one, involving intrahepatic artery infusion, manifested general erythema, dyspnea, and hypotension; the other, involving intravenous infusion, manifested abdominal pain, general erythema, and fever.",cisplatin,70,79,hypotension,242,253
We report an unusually short lived and asymptomatic episode of severe cisplatin-induced renal tubular salt wasting in a fit 41-year-old patient with malignant teratoma.,cisplatin,70,79,renal tubular salt wasting,88,114
Clinicians should include phenolphthalein in their list of possible causes of drug-induced TEN.,phenolphthalein,26,41,TEN,91,94
DISCUSSION: Phenolphthalein is the active ingredient in several over-the-counter laxative preparations and has only rarely been reported to cause TEN.,Phenolphthalein,12,27,TEN,146,149
OBJECTIVE: To report a case of phenolphthalein-induced toxic epidermal necrolysis (TEN) in a patient maintained on several other medications more commonly known to be associated with TEN.,phenolphthalein,31,46,TEN,83,86
